Siglas;Nombre;CCAA
PSOE;PARTIDO SOCIALISTA OBRERO ESPAÑOL;Todas
PP;PARTIDO POPULAR;Todas
Cs;CIUDADANOS-PARTIDO DE LA CIUDADANÍA;Todas
PODEMOS-IU-EQUO;UNIDAS PODEMOS;Todas
VOX;VOX;Todas
ERC-SOBIRANISTES;ESQUERRA REPUBLICANA DE CATALUNYA-SOBIRANISTES;Cataluña
ECP-GUANYEM EL CANVI;EN COMÚ PODEM - GUANYEM EL CANVI ;Cataluña
JxCAT-JUNTS;JUNTS PER CATALUNYA-JUNTS;Cataluña
EAJ-PNV;EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO;País Vasco
EH Bildu;EUSKAL HERRIA BILDU;País Vasco
PODEMOS-EU-MAREAS EN COMÚN-EQUO;EN COMÚN-UNIDAS PODEMOS;Todas
CCa-PNC;COALICION CANARIA-PARTIDO NACIONALISTA CANARIO;Canarias
NA+;NAVARRA SUMA;Comunidad Foral de Navarra    
COMPROMÍS 2019;COMPROMÍS: BLOC-INICIATIVA-VERDSEQUO;Comunitat Valenciana          
PRC;PARTIDO REGIONALISTA DE CANTABRIA;Cantabria
PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;Todas
FRONT REPUBLICÀ;POBLE LLIURE - SOM ALTERNATIVA - PIRATES DE CATALUNYA: FRONT REPUBLICÀ;Cataluña
BNG;BLOQUE NACIONALISTA GALEGO;Galicia
RECORTES CERO-GV;RECORTES CERO-GRUPO VERDE;Todas
Nca;NUEVA CANARIAS;Canarias
PACT;ACTÚA;Todas
ARA-MES-ESQUERRA;Veus PROGRESSISTES;Illes Balears                 
GBAI;GEROA BAI;Comunidad Foral de Navarra    
PUM+J;POR UN MUNDO MÁS JUSTO;Todas
EN MAREA;EN MAREA;Galicia
PCTE;PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA;Todas
EL PI;EL PI - PROPOSTA PER LES ILLES BALEARS;Illes Balears                 
AxSI;ANDALUCÍA POR SÍ;Andalucía
PCOE;PARTIDO COMUNISTA OBRERO ESPAÑOL;Todas
PCPE;PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA;Todas
AVANT ADELANTE LOS VERDES;AVANT ADELANTE LOS VERDES;Comunitat Valenciana          
EB;ESCAÑOS EN BLANCO;Todas
CpM;COALICION POR MELILLA;Melilla
SOMOS REGIÓN;SOMOS REGIÓN;Región de Murcia              
PCPA;PARTIDO COMUNISTA DEL PUEBLO ANDALUZ;Andalucía
PH;PARTIDO HUMANISTA;Todas
UIG-SOM-CUIDES;SOM VALENCIANS EN MOVIMENT;Comunitat Valenciana          
ERPV;ESQUERRA REPUBLICANA DEL PAÍS VALENCIÀ;Comunitat Valenciana          
IZQP;IZQUIERDA EN POSITIVO;Todas
PCPC;PARTIT COMUNISTA DEL POBLE DE CATALUNYA;Cataluña
AHORA CANARIAS;AHORA CANARIAS: Alternativa Nacionalista Canaria ANC y Unidad del Pueblo;Canarias
CxG;COMPROMISO POR GALICIA;Galicia
PPSO;PLATAFORMA DEL PUEBLO SORIANO;Castilla y León
CNV;CONVERGENTS;Cataluña
PREPAL;PARTIDO REGIONALISTA DEL PAIS LEONES;Castilla y León
C.Ex-C.R.Ex-P.R.Ex;EXTREMEÑOS PREX CREX;Extremadura
PR+;PARTIDO RIOJANO;La Rioja
P-LIB;PARTIDO LIBERTARIO;Todas
CILU-LINARES;CIUDADANOS INDEPENDIENTES DE LINARES UNIDOS;Andalucía
ANDECHA ASTUR;ANDECHA ASTUR;Principado de Asturias        
"""JF""";PARTIDO DE JUBILADOS POR EL FUTURO. DIGNIDAD Y DEMOCRACIA;Andalucía
PYLN;PUYALON;Aragón
FIA;FEDERACION DE LOS INDEPENDIENTES DE ARAGON;Aragón
FE de las JONS;FALANGE ESPAÑOLA DE LAS JONS;Todas
F8;FEMINISM8;Todas
SOLIDARIA;PARTIDO DE ACCIÓN SOLIDARIA EUROPEA;Todas
DPL;DEMOCRACIA PLURAL;Todas
UNIÓN REGIONALISTA;UNIÓN REGIONALISTA DE CASTILLA Y LEÓN;Castilla y León
centrados;CENTRADOS;Castilla y León
VOU;VIVIR OURENSE;Galicia
DP;DEFENSA DE LO PÚBLICO;Todas
PDSJE-UDEC;PARTIDO DEMÓCRATA SOCIAL JUBILADOS EUROPEOS - UNIDAD DE CENTRO;Todas
IZAR;IZQUIERDA ANTICAPITALISTA REVOLUCIONARIA;Todas
RISA;PARTIDO REPUBLICANO INDEPENDIENTE SOLIDARIO ANDALUZ;Andalucía
C 21;CONVERXENCIA 21;Galicia
+MAS+ ;MUERTE AL SISTEMA;Aragón
UDT;UNIÓN DE TODOS;Aragón
