,ccaa,renta_bruta_media,renta_disponible_media
0,Andalucía,23.510,19.682
1,Aragón,27.014,22.200
2,"Asturias, Principado de",27.448,22.674
3,"Balears, Illes",29.736,24.182
4,Canarias,25.087,20.938
5,Cantabria,27.010,22.361
6,Castilla y León,25.317,21.165
7,Castilla-La Mancha,23.437,19.697
8,Cataluña,32.423,25.976
9,Comunitat Valenciana,25.543,21.061
10,Extremadura,20.926,17.777
11,Galicia,25.330,20.998
12,"Madrid, Comunidad de",37.768,29.882
13,"Murcia, Región de",24.380,20.345
14,"Rioja, La",26.735,22.113
15,Ceuta,31.504,28.362
16,Melilla,30.175,27.284
17,No residentes,29.865,25.914
18,Pais Vasco,22.548,18.768
19,Navarra,16.3,13.394
